,num_samples,auc_dif
0,10,-0.2287059847566574
1,30,-0.1109272098638228
2,50,-0.06630707943442404
3,70,-0.0429781642864839
4,90,-0.0300055333563626
5,110,-0.0270509848732955
6,130,-0.017555999374638802
7,150,-0.012714211094500001
8,170,-0.0089664556840174
9,190,0.002215382110583844
10,210,0.0043356050731122
11,230,0.005071724775758182
12,250,0.0173348789544404
13,270,0.0184677334810688
14,290,0.019357993509061
15,310,0.020269568954088
16,330,0.0209598564813698
17,350,0.0216356979228118
18,370,0.0221808137996727
19,390,0.0226793018018401
20,410,0.023134490810998498
21,430,0.0121757750403261
22,450,0.0125953903871534
23,470,0.012867360651595598
24,490,0.0131527521821958
25,510,0.0134271734195569
26,530,0.0136063152402458
27,550,0.0138036364144226
28,570,0.014023804708125899
29,590,0.0141881348026313
30,610,0.014369865034685101
31,630,0.0150674792787526
32,650,0.015261809618880202
33,670,0.015414318804311699
34,690,0.015563940486503301
35,710,0.015718471559432998
36,730,0.0158183752076881
37,750,0.0159288983580242
38,770,0.0160070448828058
39,790,0.016078769584120498
40,810,-0.0195937556091165
41,830,-0.0194576132870191
42,850,-0.0192938679686672
43,870,-0.0191522949349591
44,890,-0.0190766020510641
45,910,-0.0189770140360827
46,930,-0.0188530439986295
47,950,-0.0187418829499407
48,970,-0.0186703473694161
49,990,-0.0185896357589291
50,1010,-0.0184998604780303
51,1030,-0.0184014709649217
52,1050,-0.0183806469948843
53,1070,-0.0183124447476932
54,1090,-0.018238399803873
55,1110,-0.018154392313236498
56,1130,-0.018104879204622098
57,1150,-0.018043755609116502
58,1170,-0.0179915458712888
59,1190,-0.0179367893169817
60,1210,-0.0178749915641728
61,1230,-0.0177981001784048
62,1250,-0.017736152612861898
63,1270,-0.0176839803282176
64,1290,-0.0176251413769067
65,1310,-0.017631208792637
