,tSNE1,tSNE2,dataset
4315,-9.597632,13.39457,USA2
4316,-6.5233827,-69.982155,USA2
4317,-13.682943,16.813301,USA2
4318,-27.797615,11.378872,USA2
4319,49.804585,61.57456,USA2
4320,-2.2938895,33.689854,USA2
4321,-19.39024,-67.68716,USA2
4322,-22.919966,-19.288458,USA2
4323,-38.44001,21.647844,USA2
4324,-34.55802,40.262394,USA2
4325,-9.615327,30.151457,USA2
4326,-28.267557,-46.355206,USA2
4327,-34.40053,-58.720196,USA2
4328,-37.30746,29.30578,USA2
4329,-10.806569,-51.001274,USA2
4330,-25.893814,30.136114,USA2
4331,13.733429,33.577145,USA2
4332,19.26604,-57.415802,USA2
4333,37.695686,-60.06766,USA2
4334,41.186085,60.0505,USA2
4335,-10.491931,59.343864,USA2
4336,44.011112,-8.6453285,USA2
4337,-24.304502,9.311048,USA2
4338,-16.766834,-15.89553,USA2
4339,7.191541,57.553688,USA2
4340,-3.850052,-70.42286,USA2
4341,-19.731043,-60.90601,USA2
4342,-32.929817,13.444496,USA2
4343,-3.5242052,-68.939545,USA2
4344,4.146155,-45.63572,USA2
4345,-38.182003,28.907845,USA2
4346,-38.410732,-2.6936007,USA2
4347,-28.411806,17.187542,USA2
4348,19.543564,-50.374313,USA2
4349,-10.478985,-48.537563,USA2
4350,0.09970331,28.13141,USA2
4351,-7.075568,25.124334,USA2
4352,-41.38216,27.621572,USA2
4353,12.808302,34.616314,USA2
4354,11.250918,5.6126304,USA2
4355,-17.31251,-54.82668,USA2
4356,-44.037186,-12.66688,USA2
4357,15.465502,52.028305,USA2
4358,4.371411,-1.0998914,USA2
4359,-35.730755,-66.90351,USA2
4360,5.868019,-3.8015168,USA2
4361,-31.394659,41.2164,USA2
4362,-3.1786475,-14.16697,USA2
4363,-18.789589,39.74327,USA2
4364,-21.389664,12.062374,USA2
4365,10.435048,4.181966,USA2
4366,7.693129,-3.5318513,USA2
4367,-36.712765,-58.26976,USA2
4368,19.261257,12.968699,USA2
4369,50.086933,14.826785,USA2
4370,-22.81581,28.627148,USA2
4371,-41.317577,20.307325,USA2
4372,25.369707,8.508355,USA2
4373,31.01814,1.3085902,USA2
4374,21.820261,69.833595,USA2
4375,-22.495235,-36.292816,USA2
4376,-23.368668,-21.004223,USA2
4377,7.9930377,-65.28078,USA2
4378,3.456831,-36.267067,USA2
4379,29.443748,-20.134687,USA2
4380,-43.349598,36.57944,USA2
4381,-48.244972,-8.110366,USA2
4382,-37.039623,-29.837448,USA2
4383,-12.134649,-65.44309,USA2
4384,-56.879707,10.35277,USA2
4385,-30.932232,3.2132385,USA2
4386,18.69942,53.857555,USA2
4387,33.567463,-47.10192,USA2
4388,38.906055,1.9267869,USA2
4389,-32.958645,-43.362236,USA2
4390,9.795163,77.43419,USA2
4391,11.383245,69.80114,USA2
4392,0.27608433,-64.12849,USA2
4393,18.032495,74.12561,USA2
4394,36.94943,-26.511763,USA2
4395,0.64771986,-64.04033,USA2
4396,-36.924232,-17.43238,USA2
4397,-26.687098,-48.56933,USA2
4398,-16.757483,11.562555,USA2
