,tSNE1,tSNE2,dataset
3922,45.022434,1.7401454,China1
3923,-41.044334,-7.426484,China1
3924,-53.212055,11.626005,China1
3925,-32.61544,-59.635506,China1
3926,18.836464,-47.327644,China1
3927,-13.174044,64.49792,China1
3928,-5.8197417,76.83837,China1
3929,-28.400887,-55.13048,China1
3930,20.782242,78.56077,China1
3931,-39.432163,-64.51253,China1
3932,-22.477695,-23.80054,China1
3933,48.509872,56.003372,China1
3934,-3.8030603,40.389378,China1
3935,-22.450249,-2.5484657,China1
3936,-2.9474802,-74.164925,China1
3937,39.083923,-25.097015,China1
3938,-17.096252,-26.349457,China1
3939,22.324919,-26.814404,China1
3940,2.9754984,43.699356,China1
3941,32.579613,-57.064274,China1
3942,12.555632,37.236366,China1
3943,27.655403,-52.76387,China1
3944,39.672356,-40.584805,China1
3945,-7.797044,-24.494492,China1
3946,36.689266,-60.56721,China1
3947,1.3781747,-59.786163,China1
3948,56.356194,52.868256,China1
3949,19.049435,24.180021,China1
3950,-4.789044,-38.09576,China1
3951,41.009724,-42.611923,China1
3952,-6.147118,75.75555,China1
3953,-14.138384,-73.28633,China1
3954,1.0262066,-73.85949,China1
3955,-18.59783,11.784909,China1
3956,-14.112644,-18.925192,China1
3957,-7.4284534,-72.67779,China1
3958,38.132607,-59.487343,China1
3959,10.839374,-56.123302,China1
3960,-22.234043,-77.71886,China1
3961,3.3627107,26.572294,China1
3962,-0.1626881,-59.366116,China1
3963,-10.680262,47.274532,China1
3964,30.107386,-54.64232,China1
3965,-11.218203,62.105465,China1
3966,39.401146,-24.462732,China1
3967,-3.984943,46.954197,China1
3968,-5.664588,-1.4149421,China1
3969,19.956863,-62.57671,China1
3970,16.951797,-52.85384,China1
3971,18.627802,-4.926375,China1
3972,42.09058,-20.396704,China1
3973,-16.928465,-26.809109,China1
3974,-26.986168,-10.439239,China1
3975,43.988754,-21.790152,China1
3976,35.458183,-56.762966,China1
3977,-30.09971,21.756775,China1
3978,-9.839512,72.740685,China1
3979,8.508343,53.528282,China1
3980,41.89174,-40.722332,China1
3981,0.9977282,-76.697556,China1
3982,44.576485,62.30014,China1
3983,12.781453,-59.8578,China1
3984,-17.519005,-53.37004,China1
3985,-31.876223,-9.888246,China1
3986,36.16275,-51.782173,China1
3987,46.588585,53.45173,China1
3988,5.9800572,-53.971725,China1
3989,5.0184464,-16.04114,China1
3990,43.327343,-25.01646,China1
3991,-23.443537,-67.598236,China1
3992,-7.175206,4.989016,China1
3993,-38.82312,-22.704313,China1
3994,30.855837,1.7131089,China1
3995,3.1817553,-20.840088,China1
3996,1.4058225,-71.103836,China1
3997,3.6112378,-67.965706,China1
3998,19.078598,27.636286,China1
3999,-1.1281983,44.827187,China1
4000,42.564697,-38.885845,China1
4001,5.320221,65.76617,China1
4002,-35.92367,-31.928,China1
