,tSNE1,tSNE2,dataset
2803,-11.413516,-53.138268,USA1
2804,-20.179052,22.682238,USA1
2805,-41.235355,-14.833917,USA1
2806,-43.28067,-23.526182,USA1
2807,-16.848053,-3.0661893,USA1
2808,-38.920063,50.888863,USA1
2809,20.095764,77.321625,USA1
2810,-0.89396524,-16.214764,USA1
2811,59.11985,45.96445,USA1
2812,1.3571883,-78.87745,USA1
2813,19.250546,74.8482,USA1
2814,-43.55509,-22.741184,USA1
2815,-16.972523,-26.894764,USA1
2816,-51.815647,-22.17979,USA1
2817,32.119183,66.18732,USA1
2818,6.952956,70.48203,USA1
2819,44.878498,68.528915,USA1
2820,-55.626255,-12.191913,USA1
2821,0.4656604,-17.284538,USA1
2822,-53.210068,3.1048925,USA1
2823,3.234736,72.17133,USA1
2824,-46.374256,-12.6037035,USA1
2825,-59.74194,4.3025765,USA1
2826,43.240467,61.23259,USA1
2827,-30.9723,52.32425,USA1
2828,4.818994,55.758633,USA1
2829,-4.2708416,-41.11878,USA1
2830,0.4584423,79.64751,USA1
2831,17.43502,-8.729928,USA1
2832,11.531409,74.927345,USA1
2833,-2.168618,74.065414,USA1
2834,39.777027,59.761814,USA1
2835,-26.068914,-10.667649,USA1
2836,-31.090544,3.9349535,USA1
2837,-4.4530683,-36.41901,USA1
2838,0.4656604,-17.284538,USA1
2839,-44.932896,42.802986,USA1
2840,31.715235,69.551445,USA1
2841,-37.7123,-62.29441,USA1
2842,-30.621286,-69.233185,USA1
2843,36.72693,-61.15677,USA1
2844,-30.621286,-69.233185,USA1
2845,-26.057564,10.650863,USA1
2846,-44.932896,42.802986,USA1
2847,31.83757,67.99152,USA1
2848,26.937164,-28.415117,USA1
2849,5.7191186,40.517845,USA1
2850,-55.689728,-14.234949,USA1
2851,-41.14853,33.281254,USA1
2852,-56.894512,-15.389579,USA1
2853,-11.382822,45.385807,USA1
2854,45.613983,58.379963,USA1
2855,-19.737453,-21.762957,USA1
2856,-46.22907,4.6617565,USA1
2857,-10.515731,-67.56392,USA1
2858,-7.9850316,55.82139,USA1
2859,-20.040302,-77.04245,USA1
2860,-13.602122,-40.507385,USA1
2861,-39.49452,11.772428,USA1
2862,-41.961475,42.067696,USA1
2863,-37.235382,-59.803722,USA1
2864,-29.890783,50.38442,USA1
2865,-12.077759,31.713316,USA1
2866,31.715235,69.551445,USA1
2867,5.9564695,70.69243,USA1
2868,56.64026,50.61089,USA1
2869,-42.17521,-5.4076056,USA1
2870,20.675505,60.931667,USA1
2871,-29.76215,-66.492035,USA1
2872,-31.380766,-12.696615,USA1
2873,14.355076,-23.232708,USA1
2874,-41.068695,17.337885,USA1
2875,-38.62867,34.367165,USA1
2876,-9.5594425,58.278202,USA1
2877,-15.310448,-2.495247,USA1
2878,-46.57939,-9.333916,USA1
2879,-28.28953,-42.443066,USA1
2880,-41.78843,33.343678,USA1
2881,44.165318,60.817482,USA1
2882,-36.782272,31.575441,USA1
2883,29.784075,52.609104,USA1
2884,-34.30489,40.985752,USA1
2885,-38.062946,-65.92495,USA1
2886,-31.651766,52.59551,USA1
2887,-42.79242,20.150627,USA1
2888,-43.33502,-12.26354,USA1
2889,19.104609,61.559742,USA1
2890,-38.309006,49.877445,USA1
2891,-7.2356606,15.091835,USA1
2892,-17.54044,-6.0106378,USA1
2893,20.575108,74.33165,USA1
2894,-36.073112,31.524708,USA1
2895,-2.354901,69.7868,USA1
2896,-25.3011,-37.73413,USA1
2897,31.349562,65.058426,USA1
2898,46.75809,66.8169,USA1
2899,-8.570859,15.392064,USA1
2900,-42.723083,20.644447,USA1
2901,-41.222626,49.025814,USA1
2902,37.896427,66.862526,USA1
2903,-38.542595,10.107532,USA1
2904,-9.046934,-64.070335,USA1
2905,-21.262157,22.8868,USA1
2906,-38.168983,10.172228,USA1
2907,31.601976,66.58673,USA1
2908,-38.62867,34.367172,USA1
2909,-53.579735,-22.063856,USA1
2910,-32.519012,29.935122,USA1
2911,-51.699425,-23.351875,USA1
