,tSNE1,tSNE2,dataset
0,-59.65739,3.661573,Germany1
1,-51.746174,13.018049,Germany1
2,-3.8300023,-30.608221,Germany1
3,-22.421434,-77.80234,Germany1
4,32.367474,69.98065,Germany1
5,6.014966,26.999975,Germany1
6,2.6032279,-43.16418,Germany1
7,-17.640993,-71.861115,Germany1
8,-44.16931,-4.6217046,Germany1
9,-28.717554,-73.28823,Germany1
10,-59.914917,-18.676943,Germany1
11,-60.50404,2.1490104,Germany1
12,51.937435,57.127136,Germany1
13,-35.1877,-69.26493,Germany1
14,-27.855988,32.414234,Germany1
15,-36.789818,-66.58927,Germany1
16,-57.795456,-13.504504,Germany1
17,-3.5532482,70.25646,Germany1
18,-37.144764,-67.06573,Germany1
19,39.33741,68.610245,Germany1
20,-30.322794,41.542953,Germany1
21,-6.0347695,46.25259,Germany1
22,-37.923813,-62.593704,Germany1
23,-9.621387,73.22028,Germany1
24,-58.520313,7.3412633,Germany1
25,29.815273,64.841515,Germany1
26,-5.798318,46.803406,Germany1
27,-31.058664,8.63975,Germany1
28,-40.02666,50.52607,Germany1
29,5.811793,-11.985795,Germany1
30,-25.08258,44.399426,Germany1
31,-18.04786,38.319126,Germany1
32,17.213552,70.30338,Germany1
33,58.35112,44.406765,Germany1
34,-46.17356,15.6741295,Germany1
35,-41.388603,50.251556,Germany1
36,44.913673,68.45465,Germany1
37,12.270795,79.76152,Germany1
38,-20.422245,16.376648,Germany1
39,-32.076347,37.978844,Germany1
40,39.80038,60.1446,Germany1
41,7.4382453,-1.2622224,Germany1
42,-31.70871,44.097218,Germany1
43,-15.875874,13.114055,Germany1
44,29.586235,52.738155,Germany1
45,-37.34445,44.953033,Germany1
46,19.50502,71.613014,Germany1
47,-27.39927,13.049184,Germany1
48,-46.574463,41.102192,Germany1
49,-2.1567452,65.44423,Germany1
50,-8.789377,4.6481953,Germany1
51,21.679352,-24.35104,Germany1
52,-21.14828,-56.05366,Germany1
53,-13.329611,64.720535,Germany1
54,45.17915,64.10648,Germany1
55,59.33417,44.561073,Germany1
56,-7.6569767,25.490463,Germany1
57,-40.367836,8.444131,Germany1
58,-40.22889,11.638392,Germany1
59,-9.104282,30.322346,Germany1
60,49.047676,62.476128,Germany1
61,-58.55378,6.3112664,Germany1
62,-8.022401,50.94542,Germany1
63,45.047146,63.351616,Germany1
64,24.161114,44.517506,Germany1
65,45.821136,61.83612,Germany1
66,-30.401974,-58.089405,Germany1
67,-58.553734,6.311289,Germany1
68,-36.725807,-68.201546,Germany1
69,19.870407,70.39536,Germany1
70,-42.560825,34.55957,Germany1
71,-40.91972,49.57575,Germany1
72,-3.4236307,70.31367,Germany1
73,-22.539598,31.904556,Germany1
74,-31.10527,-8.534867,Germany1
75,-38.55425,2.8679423,Germany1
76,-16.847027,39.799877,Germany1
77,43.946594,67.06155,Germany1
78,15.536649,79.97178,Germany1
79,-35.849186,-58.33315,Germany1
80,2.1510575,-12.666635,Germany1
81,45.821136,61.83612,Germany1
82,-53.59654,-11.799822,Germany1
83,51.8914,47.53865,Germany1
84,-57.996044,3.3237026,Germany1
85,-37.371582,22.96579,Germany1
86,14.180083,65.34928,Germany1
87,44.24554,57.4579,Germany1
