,tSNE1,tSNE2,dataset
3207,7.98463,-71.08056,China2
3208,-17.994635,-77.25839,China2
3209,24.07715,-61.999454,China2
3210,-39.820293,19.349073,China2
3211,-25.256517,-40.447495,China2
3212,-36.245827,-56.69102,China2
3213,-19.70953,-77.73346,China2
3214,-6.256892,14.412064,China2
3215,5.272329,56.11255,China2
3216,32.947006,-41.89119,China2
3217,-34.343674,-60.4263,China2
3218,30.722643,-61.348488,China2
3219,-24.024492,-3.534025,China2
3220,-23.73208,-67.33722,China2
3221,-15.876205,-1.3422427,China2
3222,-13.225591,-2.062144,China2
3223,-57.030117,11.243627,China2
3224,-22.048674,-19.856005,China2
3225,-36.3378,28.924948,China2
3226,18.085518,-64.225975,China2
3227,12.128716,5.497043,China2
3228,31.390606,63.768566,China2
3229,-28.456114,-72.34363,China2
3230,-2.921975,-37.282917,China2
3231,1.9921323,-76.53126,China2
3232,-22.643124,-37.16155,China2
3233,-22.962534,-24.985266,China2
3234,-8.684796,-51.711567,China2
3235,-31.785826,-21.577574,China2
3236,-16.294802,-4.276658,China2
3237,-26.680422,-65.69261,China2
3238,-22.044836,-78.187065,China2
3239,-23.62895,-36.341904,China2
3240,12.964683,7.8577933,China2
3241,-39.434464,20.780989,China2
3242,18.610247,-62.044483,China2
3243,-24.249647,-38.28138,China2
3244,-30.222507,-7.1279817,China2
3245,-21.41785,-21.500849,China2
3246,-55.611942,10.134046,China2
3247,-16.301386,-2.922335,China2
3248,26.344141,-54.19905,China2
3249,26.691187,-58.011715,China2
3250,-24.382162,-38.435024,China2
3251,-31.393684,-18.392584,China2
3252,-28.981115,10.178713,China2
3253,-2.6624966,-37.752235,China2
3254,22.821709,-32.08116,China2
3255,-11.063002,-64.09745,China2
3256,-10.3736,-20.68202,China2
3257,-11.344815,-51.578056,China2
3258,-29.738026,46.483402,China2
3259,-6.2504807,-43.076538,China2
3260,-20.635748,-21.123894,China2
3261,25.380972,-35.540165,China2
3262,-8.087217,14.424232,China2
3263,38.50545,59.9973,China2
3264,13.678701,-65.04133,China2
3265,10.8038645,36.719185,China2
3266,16.317238,-23.25181,China2
3267,2.5222871,-43.11382,China2
3268,-27.767725,-14.038029,China2
3269,-34.30819,40.72891,China2
3270,-6.5968924,-44.447975,China2
3271,-19.52721,-69.80415,China2
3272,-24.61389,-36.783577,China2
3273,-28.12742,-72.144585,China2
3274,15.476047,-65.21703,China2
3275,-17.88382,-24.785976,China2
3276,-17.440296,-22.787281,China2
3277,-21.286375,-1.1290438,China2
3278,-17.0053,-26.793089,China2
3279,-30.444729,12.487939,China2
3280,28.132215,-53.900455,China2
3281,12.604337,-66.027916,China2
3282,-28.19042,-16.468493,China2
3283,22.136112,-52.10745,China2
3284,22.206799,-45.459904,China2
3285,23.810278,-28.482561,China2
3286,7.222574,-67.36352,China2
3287,23.358389,-45.417088,China2
3288,-55.425014,11.554688,China2
3289,34.409927,-56.77015,China2
3290,6.853762,-62.24505,China2
3291,3.163559,-44.291595,China2
3292,28.563498,-54.317993,China2
3293,54.203835,51.421406,China2
3294,37.34074,-52.12563,China2
3295,-56.65584,-11.294374,China2
3296,14.927909,-62.698086,China2
3297,-26.57785,-1.4910483,China2
3298,-21.988493,29.81992,China2
3299,39.099953,-43.387825,China2
3300,-34.150322,-14.061604,China2
3301,8.158173,57.044548,China2
3302,20.916155,-50.620693,China2
3303,-8.7417,-12.915188,China2
3304,-4.564952,62.41878,China2
3305,-23.730116,-0.43637565,China2
3306,8.665672,-65.45353,China2
3307,7.9196343,21.505547,China2
3308,-34.69785,7.9258475,China2
3309,-32.70009,8.800093,China2
3310,-55.66384,-13.098414,China2
3311,25.515774,-44.345554,China2
3312,9.181091,19.332085,China2
3313,-54.439835,7.972132,China2
3314,-8.770343,28.142376,China2
3315,25.083643,-26.632364,China2
3316,-9.390631,72.135574,China2
3317,-30.218946,14.833213,China2
3318,-17.915253,-73.13832,China2
3319,-17.071669,-67.23805,China2
3320,-17.791468,-66.77859,China2
3321,-8.145002,25.256731,China2
3322,38.031216,-58.81273,China2
3323,-8.346068,19.427021,China2
