num_samples,auc
10,0.6039456554307117
30,0.7057276966292135
50,0.7468047565543071
70,0.7678017602996253
90,0.78001
110,0.7880449438202246
130,0.7936200936329587
150,0.7979188389513108
170,0.8008704868913857
190,0.8039530524344568
210,0.8063931647940075
230,0.8080873595505618
250,0.8097124531835207
270,0.8108082584269662
290,0.8117225468164794
310,0.8127293258426966
330,0.8134576404494382
350,0.814320936329588
370,0.8148492883895131
390,0.8154314606741574
410,0.815853520599251
430,0.8162852434456929
450,0.8167602247191011
470,0.8171367415730337
490,0.8174818352059925
510,0.8178637827715356
530,0.8181050187265918
550,0.8184206367041199
570,0.8186735205992509
590,0.8188906741573034
610,0.8191466292134831
630,0.8193346441947565
650,0.819561161048689
670,0.8197412359550562
690,0.8199523970037453
710,0.8201307490636705
730,0.8202421348314608
750,0.8203861797752808
770,0.8204708988764046
790,0.8205601872659175
810,0.8206725842696629
830,0.8208087265917603
850,0.8209724719101122
870,0.8211140449438203
890,0.8211897378277153
910,0.8212893258426966
930,0.8214132958801499
950,0.8215244569288388
970,0.8215959925093633
990,0.8216767041198503
1010,0.8217664794007491
1030,0.8218648689138577
1050,0.8218856928838951
1070,0.8219538951310862
1090,0.8220279400749064
1110,0.822111947565543
1130,0.8221614606741573
1150,0.8222225842696629
1170,0.8222747940074906
1190,0.8223295505617977
1210,0.8223913483146066
1230,0.8224682397003746
1250,0.8225301872659175
1270,0.8225823595505618
1290,0.8226411985018727
1310,0.8226351310861424
