num_samples,auc
10,0.6168371777476255
30,0.741651289009498
50,0.7880569029850747
70,0.8095820895522388
90,0.8205708955223882
110,0.827746777476255
130,0.8331551899592944
150,0.8367131953867029
170,0.8393527815468115
190,0.8418431139755767
210,0.8434179104477612
230,0.8448102103120759
250,0.8460006784260515
270,0.847149592944369
290,0.8480164518317503
310,0.848827170963365
330,0.8493539687924017
350,0.8497578018995929
370,0.8502930800542741
390,0.8507944369063773
410,0.8512371099050203
430,0.8515887042062416
450,0.8519996607869741
470,0.8522357530529173
490,0.8525661465400272
510,0.8528802578018995
530,0.8529062075983718
550,0.8531351763907734
570,0.8533546472184532
590,0.8534813432835822
610,0.8536170284938942
