num_samples,auc
10,0.6551146540027136
30,0.8040308118498417
50,0.8420052578018996
70,0.8576339891451833
90,0.8658656716417911
110,0.8708496155585708
130,0.8748982360922659
150,0.8771441655359566
170,0.8793652193577566
190,0.8813406264133875
210,0.8825707824513795
230,0.8838377431026685
250,0.8847307779285392
270,0.8857406151062868
290,0.8862790592492086
310,0.8870229534147445
330,0.8875740615106287
350,0.88813263229308
370,0.8885854816824967
390,0.8889035504296697
410,0.8891935775667118
430,0.8894523971053823
450,0.8898253052917232
470,0.8900286069651742
490,0.8902092944369063
510,0.8903364993215739
530,0.8906067390321123
550,0.8906541157847128
570,0.8908422659430122
590,0.890991406603347
610,0.8911449570330167
630,0.8913329941203076
650,0.8914951379466305
670,0.8916200814111261
690,0.8917081637268204
710,0.8918388738127544
730,0.8919272953414744
750,0.8920042966983266
770,0.8920758706467662
790,0.8921300316598825
