,num_samples,auc_dif,std_dif
0,10.0,0.004610326712153778,0.0013724912763008607
1,30.0,0.0006153372913331179,-0.0005485704936652458
2,50.0,-3.389950615995119e-05,-0.00042039638297924203
3,70.0,-0.00029591873063383733,-0.0003870542467780541
4,90.0,-0.0004826788971485918,-0.0004121222629467
5,110.0,0.005711060055225814,-0.0005526815931632331
6,130.0,0.0011945787297781285,-0.0006641108369596707
7,150.0,0.00104675143392563,-0.0007430063286194555
8,170.0,0.0008938076911441106,-0.0008185930322825996
9,190.0,-0.002115853385127875,-0.0008251849086775356
10,210.0,-0.0022741704577303734,-0.000894412331281097
11,230.0,-0.005015645493917753,-0.0012233064266482761
12,250.0,-0.014182117805119798,-0.0014660532941417684
13,270.0,-0.01437457190393443,-0.0015310998609575077
14,290.0,-0.014551361852995659,-0.0015980484536700715
15,310.0,-0.014734965913748121,-0.0016707441775215132
16,330.0,-0.014922840099223067,-0.0017461828940785462
17,350.0,-0.015108089151213977,-0.0018123679868161796
18,370.0,-0.015292221262319106,-0.001895317322267616
19,390.0,-0.015478281859867216,-0.001967529942008349
20,410.0,-0.015629165179236737,-0.002013908241178211
21,430.0,-0.00849670658451196,-0.0016668103849020177
22,450.0,-0.0085968811797007,-0.0016549347644677567
23,470.0,-0.00869109507786403,-0.0016330604790512765
24,490.0,-0.008788390478626562,-0.0016291202621422363
25,510.0,-0.008871671867053843,-0.001603231061896901
26,530.0,-0.008961085955955683,-0.0015969573585836033
27,550.0,-0.009063045429950956,-0.0015936486464886643
28,570.0,-0.009182832729408785,-0.0016382674301672617
29,590.0,-0.009287145020523857,-0.00165689488695471
30,610.0,-0.009375076253023362,-0.0016428523467774403
31,630.0,-0.011985633858255573,-0.00244924506158941
32,650.0,-0.012079261277848086,-0.002465868803193008
33,670.0,-0.012173290264681058,-0.002494077541052603
34,690.0,-0.012263510283077261,-0.0025243149361026743
35,710.0,-0.012360778512918946,-0.0025645729741693227
36,730.0,-0.012428915102697169,-0.002590221985409126
37,750.0,-0.01247800085371742,-0.0025559836924472917
38,770.0,-0.012562719167155345,-0.0025957606453582485
39,790.0,-0.012642408895225943,-0.002621381520231336
40,810.0,0.024056564597880525,
41,830.0,0.024001508418105222,
42,850.0,0.023930871713985447,
43,870.0,0.02386690167653216,
44,890.0,0.023811321152187648,
45,910.0,0.02374903650799287,
46,930.0,0.02367214512222504,
47,950.0,0.023609223773910504,
48,970.0,0.023549298680277553,
49,990.0,0.02348278182634489,
50,1010.0,0.023421058979903098,
51,1030.0,0.023354354860052884,
52,1050.0,0.02330285673271204,
53,1070.0,0.023246002800127785,
54,1090.0,0.023185291189640966,
55,1110.0,0.023130235009865552,
56,1130.0,0.023080235009865557,
57,1150.0,0.023022856732712094,
58,1170.0,0.02296319381136358,
59,1190.0,0.022917688193386132,
60,1210.0,0.022848287444322435,
61,1230.0,0.02279544100237496,
62,1250.0,0.022730834260801802,
63,1270.0,0.02268139605855468,
64,1290.0,0.022633156358180195,
65,1310.0,0.02258465448552094,
