num_samples,auc
10,0.8074586704119849
30,0.8129398501872661
50,0.8134160861423221
70,0.8135354307116105
90,0.8135880898876405
110,0.8136445692883895
130,0.8137225468164794
150,0.8137914981273408
170,0.8138640449438204
190,0.8139410486891386
210,0.8140029588014982
230,0.8140880524344569
250,0.8141732958801499
270,0.8142537453183522
290,0.8143214232209738
310,0.8143934831460674
330,0.8144675280898876
350,0.814553670411985
370,0.8146237453183521
390,0.8147129588014981
410,0.8147740823970037
430,0.8148366292134831
450,0.8149170037453183
470,0.8150119475655431
490,0.8150844194756556
510,0.8151596254681649
530,0.8152340074906367
550,0.8153139700374531
570,0.8153729588014981
590,0.815436404494382
610,0.8155258426966292
630,0.8156027715355806
650,0.8156846441947565
670,0.8157587265917603
690,0.8158275655430711
710,0.8158963670411986
730,0.8159463670411985
750,0.8160196629213483
770,0.8160762546816479
790,0.8161378277153558
810,0.8162097752808989
830,0.8162648314606742
850,0.816335468164794
870,0.8163994382022473
890,0.8164550187265918
910,0.8165173033707865
930,0.8165941947565544
950,0.8166571161048689
970,0.8167170411985019
990,0.8167835580524345
1010,0.8168452808988763
1030,0.8169119850187265
1050,0.8169634831460674
1070,0.8170203370786516
1090,0.8170810486891384
1110,0.8171361048689139
1130,0.8171861048689139
1150,0.8172434831460673
1170,0.8173031460674158
1190,0.8173486516853933
1210,0.817418052434457
1230,0.8174708988764045
1250,0.8175355056179776
1270,0.8175849438202247
1290,0.8176331835205992
1310,0.8176816853932585
