num_samples,auc,std
10,0.8356560131666256,0.039739100927487975
30,0.8396510025874463,0.04166016269745408
50,0.8403002393849394,0.04153198858676808
70,0.8405622586094132,0.04149864645056689
90,0.840749018775928,0.041523714466735535
110,0.8345552798235536,0.03751636074784073
130,0.8390717611490013,0.03703266167431277
150,0.8392195884448538,0.03711155716597255
170,0.8393725321876353,0.037187143869635696
190,0.8423821932639073,0.03879347839220641
210,0.8425405103365098,0.038862705814809974
230,0.8452819853726972,0.032263054778064
250,0.8544484576838992,0.032867750730081885
270,0.8546409117827138,0.032932797296897624
290,0.8548177017317751,0.03299974588961019
310,0.8550013057925275,0.03307244161346163
330,0.8551891799780025,0.03314788033001866
350,0.8553744290299934,0.033214065422756296
370,0.8555585611410985,0.03329701475820773
390,0.8557446217386466,0.033369227377948465
410,0.8558955050580161,0.03341560567711833
430,0.8487630464632914,0.036903489201756005
450,0.8488632210584801,0.036891613581321744
470,0.8489574349566434,0.036869739295905264
490,0.849054730357406,0.036865799078996224
510,0.8491380117458333,0.03683990987875089
530,0.8492274258347351,0.03683363617543759
550,0.8493293853087304,0.03683032746334265
570,0.8494491726081882,0.03687494624702125
590,0.8495534848993033,0.0368935737038087
610,0.8496414161318028,0.03687953116363143
630,0.852251973737035,0.051829798803450705
650,0.8523456011566275,0.0518464225450543
670,0.8524396301434605,0.0518746312829139
690,0.8525298501618567,0.05190486867796397
710,0.8526271183916984,0.05194512671603062
730,0.8526952549814766,0.05197077572727042
750,0.8527443407324968,0.05193653743430859
770,0.8528290590459348,0.051976314387219544
790,0.8529087487740054,0.05200193526209263
810,0.8162097752808989,
830,0.8162648314606742,
850,0.816335468164794,
870,0.8163994382022473,
890,0.8164550187265918,
910,0.8165173033707865,
930,0.8165941947565544,
950,0.8166571161048689,
970,0.8167170411985019,
990,0.8167835580524345,
1010,0.8168452808988763,
1030,0.8169119850187265,
1050,0.8169634831460674,
1070,0.8170203370786516,
1090,0.8170810486891384,
1110,0.8171361048689139,
1130,0.8171861048689139,
1150,0.8172434831460673,
1170,0.8173031460674158,
1190,0.8173486516853933,
1210,0.817418052434457,
1230,0.8174708988764045,
1250,0.8175355056179776,
1270,0.8175849438202247,
1290,0.8176331835205992,
1310,0.8176816853932585,
