num_samples,auc
10,0.8382079375848033
30,0.8401711329715061
50,0.8403712686567164
70,0.8405193351424696
90,0.840671302578019
110,0.8408266621438263
130,0.8409889755766622
150,0.8411434871099049
170,0.8412835820895521
190,0.8414548846675711
210,0.8416143147896881
230,0.8417937584803257
250,0.8419679443690639
270,0.8421562075983718
290,0.8423220827679783
310,0.8424825305291723
330,0.8426431478968792
350,0.8428000339213026
370,0.8429438602442334
390,0.8430937924016283
410,0.8432501696065128
430,0.8433965400271372
450,0.8435488466757124
470,0.8436780868385347
490,0.8438227611940298
510,0.8439623473541384
530,0.8440870081411126
550,0.8442308344640435
570,0.8443768656716418
590,0.8445178086838534
610,0.844626696065129
