num_samples,auc
10.0,0.833456750339213
30.0,0.833456750339213
50.0,0.833456750339213
70.0,0.833456750339213
90.0,0.833456750339213
110.0,0.833456750339213
130.0,0.833456750339213
150.0,0.833456750339213
170.0,0.833456750339213
190.0,0.833456750339213
210.0,0.833456750339213
230.0,0.833456750339213
250.0,0.833456750339213
270.0,0.833456750339213
290.0,0.833456750339213
310.0,0.833456750339213
330.0,0.833456750339213
350.0,0.833456750339213
370.0,0.833456750339213
390.0,0.833456750339213
410.0,0.833456750339213
430.0,0.833456750339213
450.0,0.833456750339213
470.0,0.833456750339213
490.0,0.833456750339213
510.0,0.833456750339213
530.0,0.833456750339213
550.0,0.833456750339213
570.0,0.833456750339213
590.0,0.833456750339213
610.0,0.833456750339213
