num_samples,auc,std
10.0,0.8301002047787865,0.06725441901843379
30.0,0.8301002047787865,0.06725441901843379
50.0,0.8301002047787865,0.06725441901843379
70.0,0.8301002047787865,0.06725441901843379
90.0,0.8301002047787865,0.06725441901843379
110.0,0.8225832515724548,0.06584161498069149
130.0,0.8268542301422336,0.06835052226800702
150.0,0.8268542301422336,0.06835052226800702
170.0,0.8268542301422336,0.06835052226800702
190.0,0.8255520345510384,0.07295033515316936
210.0,0.8255520345510384,0.07295033515316936
230.0,0.8276104738714305,0.04620620180704964
250.0,0.8404806771061655,0.03681347940339545
270.0,0.8404806771061655,0.03681347940339545
290.0,0.8404806771061655,0.03681347940339545
310.0,0.8404806771061655,0.03681347940339545
330.0,0.8404806771061655,0.03681347940339545
350.0,0.8404806771061655,0.03681347940339545
370.0,0.8404806771061655,0.03681347940339545
390.0,0.8404806771061655,0.03681347940339545
410.0,0.8404806771061655,0.03681347940339545
430.0,0.8256673280261951,0.026762595780043183
450.0,0.8256673280261951,0.026762595780043183
470.0,0.8256673280261951,0.026762595780043183
490.0,0.8256673280261951,0.026762595780043183
510.0,0.8256673280261951,0.026762595780043183
530.0,0.8256673280261951,0.026762595780043183
550.0,0.8256673280261951,0.026762595780043183
570.0,0.8256673280261951,0.026762595780043183
590.0,0.8256673280261951,0.026762595780043183
610.0,0.8256673280261951,0.026762595780043183
630.0,0.8217726168696863,0.03662595276325466
650.0,0.8217726168696863,0.03662595276325466
670.0,0.8217726168696863,0.03662595276325466
690.0,0.8217726168696863,0.03662595276325466
710.0,0.8217726168696863,0.03662595276325466
730.0,0.8217726168696863,0.03662595276325466
750.0,0.8217726168696863,0.03662595276325466
770.0,0.8217726168696863,0.03662595276325466
790.0,0.8217726168696863,0.03662595276325466
810.0,0.7958741573033707,
830.0,0.7958741573033707,
850.0,0.7958741573033707,
870.0,0.7958741573033707,
890.0,0.7958741573033707,
910.0,0.7958741573033707,
930.0,0.7958741573033707,
950.0,0.7958741573033707,
970.0,0.7958741573033707,
990.0,0.7958741573033707,
1010.0,0.7958741573033707,
1030.0,0.7958741573033707,
1050.0,0.7958741573033707,
1070.0,0.7958741573033707,
1090.0,0.7958741573033707,
1110.0,0.7958741573033707,
1130.0,0.7958741573033707,
1150.0,0.7958741573033707,
1170.0,0.7958741573033707,
1190.0,0.7958741573033707,
1210.0,0.7958741573033707,
1230.0,0.7958741573033707,
1250.0,0.7958741573033707,
1270.0,0.7958741573033707,
1290.0,0.7958741573033707,
1310.0,0.7958741573033707,
